time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:17:57    47.8879;  10.356;  283.506;
14:18:00    47.888;  10.3571;  283.507;
14:18:03    47.8865;  10.3486;  283.499;
14:18:07    47.888;  10.3567;  283.507;
14:18:10    47.8881;  10.3571;  283.507;
14:18:14    47.8862;  10.3471;  283.497;
14:18:17    47.8892;  10.3632;  283.513;
14:18:20    47.8868;  10.3503;  283.5;
14:18:24    47.8872;  10.3526;  283.503;
14:18:27    47.8868;  10.3502;  283.5;
14:18:31    47.8856;  10.3434;  283.493;
14:18:34    47.887;  10.3511;  283.501;
14:18:38    47.8864;  10.3481;  283.498;
14:18:41    47.8889;  10.3616;  283.512;
14:18:44    47.8862;  10.3469;  283.497;
14:18:48    47.8864;  10.3481;  283.498;
14:18:51    47.8861;  10.3466;  283.497;
14:18:55    47.8878;  10.3559;  283.506;
14:18:58    47.8891;  10.3629;  283.513;
14:19:01    47.8874;  10.3533;  283.503;
14:19:05    47.8867;  10.3498;  283.5;
14:19:08    47.8866;  10.3492;  283.499;
14:19:12    47.888;  10.3568;  283.507;
14:19:15    47.8869;  10.3507;  283.501;
14:19:19    47.8863;  10.3474;  283.497;
14:19:22    47.8874;  10.3534;  283.503;
14:19:25    47.8853;  10.3418;  283.492;
14:19:29    47.8884;  10.3592;  283.509;
14:19:32    47.888;  10.3569;  283.507;
14:19:36    47.8879;  10.3561;  283.506;
14:19:39    47.8887;  10.3604;  283.51;
14:19:43    47.8883;  10.3584;  283.508;
14:19:46    47.8862;  10.3467;  283.497;
14:19:49    47.8881;  10.3575;  283.508;
14:19:53    47.8874;  10.3532;  283.503;
14:19:56    47.8872;  10.3523;  283.502;
14:20:00    47.8891;  10.3629;  283.513;
14:20:03    47.8876;  10.3546;  283.505;
14:20:06    47.8866;  10.3493;  283.499;
14:20:10    47.8884;  10.359;  283.509;
14:20:13    47.8881;  10.3573;  283.507;
14:20:17    47.8868;  10.3502;  283.5;
14:20:20    47.8855;  10.3429;  283.493;
14:20:24    47.8891;  10.3631;  283.513;
14:20:27    47.8886;  10.3604;  283.51;
14:20:30    47.8861;  10.3465;  283.497;
14:20:34    47.8876;  10.3547;  283.505;
14:20:37    47.8868;  10.3502;  283.5;
14:20:41    47.8869;  10.3509;  283.501;
14:20:44    47.8863;  10.3474;  283.497;
14:20:47    47.8864;  10.348;  283.498;
14:20:51    47.8857;  10.3441;  283.494;
14:20:54    47.8838;  10.3338;  283.484;
14:20:58    47.8839;  10.3341;  283.484;
14:21:01    47.8845;  10.3374;  283.487;
14:21:04    47.8847;  10.3386;  283.489;
14:21:08    47.8851;  10.3406;  283.491;
14:21:11    47.8835;  10.3319;  283.482;
14:21:15    47.8847;  10.3389;  283.489;
14:21:18    47.8852;  10.3415;  283.492;
14:21:22    47.8848;  10.3391;  283.489;
14:21:25    47.8839;  10.3345;  283.484;
14:21:28    47.8846;  10.3383;  283.488;
14:21:32    47.8854;  10.3422;  283.492;
14:21:35    47.8866;  10.3493;  283.499;
14:21:39    47.8851;  10.3407;  283.491;
14:21:42    47.8865;  10.3485;  283.499;
14:21:45    47.8866;  10.3493;  283.499;
14:21:49    47.8851;  10.341;  283.491;
14:21:52    47.8839;  10.3343;  283.484;
14:21:56    47.8854;  10.3424;  283.492;
14:21:59    47.885;  10.3405;  283.491;
14:22:03    47.885;  10.3405;  283.49;
14:22:06    47.8857;  10.3442;  283.494;
14:22:09    47.8853;  10.3419;  283.492;
14:22:13    47.8837;  10.3333;  283.483;
14:22:16    47.8842;  10.3356;  283.486;
14:22:20    47.8842;  10.3361;  283.486;
14:22:23    47.8876;  10.3547;  283.505;
14:22:26    47.8851;  10.3407;  283.491;
14:22:30    47.8864;  10.3482;  283.498;
14:22:33    47.8853;  10.3418;  283.492;
14:22:37    47.8839;  10.3342;  283.484;
14:22:40    47.8863;  10.3476;  283.498;
14:22:44    47.8843;  10.3366;  283.487;
14:22:47    47.8844;  10.3373;  283.487;
14:22:50    47.8849;  10.3397;  283.49;
14:22:54    47.8859;  10.345;  283.495;
14:22:57    47.8842;  10.3361;  283.486;
14:23:01    47.8843;  10.3362;  283.486;
14:23:04    47.8874;  10.3535;  283.504;
14:23:08    47.8855;  10.3433;  283.493;
14:23:11    47.8841;  10.3355;  283.485;
14:23:14    47.8851;  10.3409;  283.491;
14:23:18    47.8831;  10.3299;  283.48;
14:23:21    47.8852;  10.3413;  283.491;
14:23:25    47.8857;  10.3441;  283.494;
14:23:28    47.8842;  10.3357;  283.486;
14:23:31    47.886;  10.3459;  283.496;
14:23:35    47.885;  10.3402;  283.49;
14:23:38    47.8842;  10.3361;  283.486;
14:23:42    47.8853;  10.342;  283.492;
14:23:45    47.8836;  10.3326;  283.483;
14:23:48    47.8838;  10.3336;  283.484;
14:23:52    47.8847;  10.3389;  283.489;
14:23:55    47.8849;  10.3396;  283.49;
14:23:59    47.8829;  10.3288;  283.479;
14:24:02    47.8837;  10.3331;  283.483;
14:24:05    47.8843;  10.3366;  283.487;
14:24:09    47.8876;  10.3545;  283.505;
14:24:12    47.8838;  10.334;  283.484;
14:24:16    47.8832;  10.3307;  283.481;
14:24:19    47.8868;  10.3502;  283.5;
14:24:22    47.8846;  10.3379;  283.488;
14:24:26    47.8884;  10.3592;  283.509;
14:24:29    47.8851;  10.3411;  283.491;
14:24:33    47.8861;  10.3461;  283.496;
14:24:36    47.8858;  10.3446;  283.495;
14:24:40    47.8849;  10.3398;  283.49;
14:24:43    47.8855;  10.3428;  283.493;
14:24:47    47.8841;  10.3352;  283.485;
14:24:50    47.8844;  10.3371;  283.487;
14:24:53    47.8853;  10.3418;  283.492;
14:24:57    47.8833;  10.3312;  283.481;
14:25:00    47.8846;  10.3379;  283.488;
14:25:04    47.8855;  10.3431;  283.493;
14:25:07    47.885;  10.3402;  283.49;
14:25:10    47.8846;  10.3379;  283.488;
14:25:14    47.8851;  10.3406;  283.491;
14:25:17    47.8841;  10.3354;  283.485;
14:25:21    47.8859;  10.3453;  283.495;
14:25:24    47.8868;  10.3501;  283.5;
14:25:28    47.8853;  10.3419;  283.492;
14:25:31    47.8836;  10.3325;  283.482;
14:25:34    47.886;  10.346;  283.496;
14:25:38    47.8869;  10.3509;  283.501;
14:25:41    47.8853;  10.342;  283.492;
14:25:45    47.8854;  10.3426;  283.493;
14:25:48    47.8851;  10.3408;  283.491;
14:25:52    47.8843;  10.3367;  283.487;
14:25:55    47.8851;  10.3408;  283.491;
14:25:58    47.8842;  10.336;  283.486;
14:26:02    47.8846;  10.3384;  283.488;
14:26:05    47.8849;  10.3396;  283.49;
14:26:09    47.8835;  10.3323;  283.482;
14:26:12    47.8853;  10.3419;  283.492;
14:26:16    47.8843;  10.3364;  283.486;
14:26:19    47.8858;  10.3448;  283.495;
14:26:22    47.886;  10.3459;  283.496;
14:26:26    47.8847;  10.3386;  283.489;
14:26:29    47.8852;  10.3414;  283.491;
14:26:33    47.8829;  10.3288;  283.479;
14:26:36    47.8852;  10.3413;  283.491;
14:26:39    47.8853;  10.3418;  283.492;
14:26:43    47.8849;  10.3397;  283.49;
14:26:46    47.8832;  10.3302;  283.48;
14:26:50    47.8856;  10.3436;  283.494;
14:26:53    47.8839;  10.3345;  283.485;
14:26:56    47.8833;  10.3312;  283.481;
14:27:00    47.8847;  10.3388;  283.489;
14:27:03    47.8829;  10.3287;  283.479;
14:27:07    47.8839;  10.3344;  283.484;
14:27:10    47.884;  10.335;  283.485;
14:27:14    47.8859;  10.3452;  283.495;
14:27:17    47.8847;  10.3386;  283.489;
14:27:21    47.8861;  10.3464;  283.496;
14:27:24    47.8842;  10.3361;  283.486;
14:27:27    47.8848;  10.3391;  283.489;
14:27:31    47.885;  10.3401;  283.49;
14:27:34    47.8856;  10.3439;  283.494;
